id1,id2,numax1,numax2,sep_arcsec,teff1,teff2,rad1,rad2,dist1,dist2
389666145,389666154,77.66185221456331,78.29682000838397,13.666733295750747,6366.0,6287.0,9.247,7.236,3063.04,593.373
293347846,293347844,30.02193969928917,29.87715495860108,26.76335641388628,4732.0,4949.0,6.333,11.754,2174.04,1200.4
293347844,293347846,29.87715495860108,30.02193969928917,26.763356413885848,4949.0,4732.0,11.754,6.333,1200.4,2174.04
179232848,179039017,34.665395711273554,32.97139374850347,28.23688285525206,5073.0,4698.0,10.882,20.561,945.029,2374.58
179039017,179232848,32.97139374850347,34.665395711273554,28.23688285525285,4698.0,5073.0,20.561,10.882,2374.58,945.029
179038340,179038354,5.624146218572795,5.600542256846973,30.713200242511252,4476.4,4534.0,31.38,66.578,1658.22,16138.8
179038354,179038340,5.600542256846973,5.624146218572795,30.71320024250865,4534.0,4476.4,66.578,31.38,16138.8,1658.22
150394721,150394720,61.22885287365102,62.468061539068025,37.26702119348326,5067.0,4813.0,3.141,7.24,1258.25,1181.86
150394720,150394721,62.468061539068025,61.22885287365102,37.26702119348331,4813.0,5067.0,7.24,3.141,1181.86,1258.25
179036274,179036281,67.89621903233967,68.3046082353935,31.594846809794138,4558.9,5132.0,8.517,5.001,447.218,1127.34
179036281,179036274,68.3046082353935,67.89621903233967,31.594846809793314,5132.0,4558.9,5.001,8.517,1127.34,447.218
375060966,375060967,16.071418359777198,16.01573694111993,8.758399400913499,4642.8,5132.0,20.948,3.228,863.372,859.675
375060967,375060966,16.01573694111993,16.071418359777198,8.758399400914273,5132.0,4642.8,3.228,20.948,859.675,863.372
41030075,41030079,58.4347806006443,59.26370920923041,18.47717174682654,4889.0,4697.4,2.627,8.673,1184.07,735.357
167368506,167368518,32.19447531564696,31.83906645197372,142.31773873530136,5345.0,4852.0,8.329,11.59,1180.02,1245.91
41030079,41030075,59.26370920923041,58.4347806006443,18.477171746825466,4697.4,4889.0,8.673,2.627,735.357,1184.07
167368518,167368506,31.83906645197372,32.19447531564696,142.3177387353019,4852.0,5345.0,11.59,8.329,1245.91,1180.02
389502519,389502493,52.70230439989216,53.66110678440659,28.068026229528247,4608.4,3536.0,14.91,63.8,914.219,7433.45
389502493,389502519,53.66110678440659,52.70230439989216,28.068026229525668,3536.0,4608.4,63.8,14.91,7433.45,914.219
150301395,150301396,40.40876956517405,39.94484235728848,7.356796955733356,4813.0,5254.0,11.353,2.442,1575.35,927.742
150301396,150301395,39.94484235728848,40.40876956517405,7.35679695573438,5254.0,4813.0,2.442,11.353,927.742,1575.35
167415661,167415657,38.350721444517134,37.97021386203353,31.262185453695448,4888.0,4765.0,9.613,9.206,1176.8,2652.65
167415657,167415661,37.97021386203353,38.350721444517134,31.262185453690847,4765.0,4888.0,9.206,9.613,2652.65,1176.8
350560022,350560018,39.234986552075576,36.887473490448045,49.96999668750276,4868.2,4738.0,10.885,10.453,838.566,1408.15
350560018,350560022,36.887473490448045,39.234986552075576,49.96999668750193,4738.0,4868.2,10.453,10.885,1408.15,838.566
349306198,349306202,34.078454500240625,34.216227548814565,29.644496555117783,4867.0,4541.1,4.885,13.002,1270.11,856.279
